Timestamp,Usia,Rentang Usia,Gender,Pekerjaan (jika masih bersekolah bisa diisi siswa/mahasiswa),Hobi,Kegiatan 1,Kegiatan 2,Kegiatan 3,Kegiatan 4,Kegiatan 5,Kegiatan lain (Opsional)
04/12/2021 21:43:05,19,Remaja (12-19 tahun),Perempuan,Mahasiswa,Makan,Nonton drakor,Buka TikTok,Bantu ibu ,Denger musik,Karoke,Mainan sama kucing2 
04/12/2021 21:43:17,20,Dewasa (20-60 tahun),Perempuan,Mahasiswa,Berniaga,Mencari informasi mengenai barang atau hal yang menjadi trend saat ini,Menonton drama,Bersosialisasi di lingkungan,Bermain sosial media,Membaca buku ,
04/12/2021 22:08:49,20,Dewasa (20-60 tahun),Perempuan,Mahasiswa,Membaca,Cuci baju,Baca buku,Baca quran,Ngoding,Cari angin,Jalan jalan keliling kompleks
04/12/2021 22:10:41,20,Dewasa (20-60 tahun),Perempuan,Mahasiswa,Membaca,Mengerjakan tugas,Melanjutkan draft Tugas Akhir,Main sosmed ,Nonton drakor,Rebahan ,-
04/12/2021 22:27:51,20 tahun,Dewasa (20-60 tahun),Perempuan,Mahasiswi,"Denger lagu, masak",Mendengarkan lagu,Menonton film/drama,Buat kreasi masakan/coba coba resep,Workout,Tiduran sambil baca cerita (wattpad),Scroll sosmed :)
04/12/2021 22:35:49,20,Dewasa (20-60 tahun),Perempuan,Mahasiswa,Buat masalah,Ngerjain tugas,Buat basreng untuk usaha,Bantuin ibu ,Nonton youtube,Maen game,Main sama kucing
04/12/2021 23:01:50,21,Dewasa (20-60 tahun),Perempuan,Mahasiswa,Dancing,Surf the internet,Sleep,Watch some movies or drama,Singing,Workout,Cleaning my room
05/12/2021 5:01:39,20,Dewasa (20-60 tahun),Perempuan,Mahasiswa,"Mendengarkan musik, menonton film, baca buku",Menonton youtube,Mendengarkan musik,Baca buku,Beres-beres,Cek sosial media,Tidur
05/12/2021 10:27:36,20,Dewasa (20-60 tahun),Laki-laki,Mahasiswa,Travelling,Berkendara mengitari kota,Berkunjung ke tempat yang belum pernah dilalui,Tidur,Bermain,Membaca,
05/12/2021 11:51:51,20,Dewasa (20-60 tahun),Perempuan,mahasiswa,memasak membaca,memasak,membaca,menonton,berenang,bersepeda,berkebun
05/12/2021 16:24:23,21,Dewasa (20-60 tahun),Perempuan,Mahasiswa,Menggambar dan bermain game,Berselancar di social media,Melakukan hobi ,Bermain game,Bersih-bersih rumah,Belajar web,
05/12/2021 18:07:12,20,Dewasa (20-60 tahun),Perempuan,Mahasiswa,Membaca komik online (Webtoon),Bersih-bersih,Membaca komik online (Webtoon),Membuat kerajinan tangan yang simple,Menonton drama,Istirahat seharian,Membuat catatan
05/12/2021 21:26:07,20,Dewasa (20-60 tahun),Perempuan,Mahasiswa,Membaca,Membaca wattpad,Nonton film,Karaokean,Menulis,Maen hp,Membaca novel
06/12/2021 12:51:30,2p,Dewasa (20-60 tahun),Perempuan,Mahasiswa ,Denger musik,Nonton yutup,Scrolling shorts yutup,Scrolling ig,Bersihin akuarium,Bersihin rumah,Tidur
06/12/2021 13:11:07,21,Dewasa (20-60 tahun),Laki-laki,Mahasiswa,"Bermain catur, tidur, olahraga",Membuka media sosial,Bermain catur,Mengerjakan tugas,Mengerjakan pekerjaan rumah,Tidur ,
06/12/2021 13:12:50,20,Dewasa (20-60 tahun),Perempuan,Mahasiswa,nonton drakor,Nonton,Baca novel,tidur,rapiin kamar,melamun,Masaka
06/12/2021 15:03:37,20,Dewasa (20-60 tahun),Laki-laki,mahasiwa,"baca manga, menonton",nonton anime,nonton anime,baca manga,baca manga,mendengarkan music,scroll sosmed
06/12/2021 16:44:54,23,Dewasa (20-60 tahun),Laki-laki,Mahasiswa,Memelihara ikan,Memberi makan ikan,Nonton snap wa,Bermain bola,Nonton bola,Maen bulutangkis,Ngobrol
07/12/2021 18:03:46,20,Dewasa (20-60 tahun),Perempuan,Mahasiswa,Menggambar,Menonton drama,Melukis,Memasak,Mendengarkan lagu,Belanja,
07/12/2021 18:05:20,17,Remaja (12-19 tahun),Perempuan,Siswa,Menyanyi,Traveling,Belanja,Membaca novel,Bernyanyi,Menari,Memasak
07/12/2021 18:07:07,25,Dewasa (20-60 tahun),Laki-laki,Pekerja kantoran,Bermain futsal,Membaca buku,Bermain futsal,Berenang,Olahraga,Lari,
07/12/2021 18:08:23,19,Remaja (12-19 tahun),Perempuan,Mahasiswa,Berenang,Berenang,Memasak,Menggambar,Nonton film,Membaca komik,Membaca novel
07/12/2021 18:10:40,11,Anak-anak (5-11 tahun),Laki-laki,Siswa,Bermain futsal,Bermain futsal,Bermain game,Olahraga,Bersepeda,Berenang,
07/12/2021 18:11:39,21,Dewasa (20-60 tahun),Perempuan,Mahasiswa,Menari,Mendengarkan musik,Menari,Menonton film,Bersepeda,Lari,
08/12/2021 10:43:52,30,Dewasa (20-60 tahun),Laki-laki,Shinobi,"Mengembara, jadi bang toyib",Menghianati desa,Bergabung dengan Orochimaru,"Membunuh Orochimaru, tp dia hidup lagi",Bertarung melawan Naruto,Meminta maaf ke sakura dan mencarikan sakura pria yang baik,Akhirnya menikahi sakura dan memiliki anak (Sarada)
08/12/2021 10:47:53,20,Dewasa (20-60 tahun),Perempuan,Mahasiswa,Membaca,Menonton Youtube,Menonton Anime,Membaca Novel,Memasak,Pergi jalan-jalan,Menonton Drama